polygon,random_seed,polygon_vertices,skeleton_points,theta_0_label,theta_0_rad,method,epsilon,p_k,width,actual_error,surrogate_gap,within_epsilon,converged,termination_reason,time_seconds,speedup_vs_algorithm_1,membership_tests,ell_evaluations,direction_evaluations
Q_1,20260830,12,50,,,Algorithm 1 (exact),,35,1.1699821391444445,0.0,,True,True,exact,0.03215519700097502,1.0,216,62,
Q_1,20260830,12,50,seeded,2.1641561811484946,Adaptive heuristic,0.1,35,1.1699889261331688,6.786988724361009e-06,0.09937463157479365,True,True,epsilon,0.0071870789979584515,4.474028601899182,,,211
Q_1,20260830,12,50,seeded,2.1641561811484946,Adaptive heuristic,0.01,35,1.1699889261331688,6.786988724361009e-06,0.006360719749935351,True,True,epsilon,0.008277540997369215,3.884631560410834,,,1171
Q_1,20260830,12,50,seeded,2.1641561811484946,Adaptive heuristic,0.001,35,1.1699889261331688,6.786988724361009e-06,0.0007950899687418911,True,True,epsilon,0.012119336999603547,2.653214198270656,,,8339
Q_1,20260830,12,50,seeded,2.1641561811484946,Adaptive heuristic,0.0001,35,1.1699889261331688,6.786988724361009e-06,9.938624609273639e-05,True,True,epsilon,0.051417052000033436,0.6253800198610008,,,65683
Q_1,20260830,12,50,seeded,2.1641561811484946,Adaptive heuristic,1e-05,35,1.1699822285483485,8.9403904057761e-08,6.211640380726635e-06,True,True,epsilon,0.6957547649981279,0.04621627995758181,,,1048723
Q_2,20260831,12,50,,,Algorithm 1 (exact),,37,0.9403651923469588,0.0,,True,True,exact,0.030071564000536455,1.0,144,59,
Q_2,20260831,12,50,seeded,2.283152217988556,Adaptive heuristic,0.1,42,0.9808312489746746,0.04046605662771574,0.08714546774881038,True,True,epsilon,0.005944008000369649,5.059139220315037,,,93
Q_2,20260831,12,50,seeded,2.283152217988556,Adaptive heuristic,0.01,37,0.940366408614618,1.2162676591431776e-06,0.009334376958729074,True,True,epsilon,0.00855579600101919,3.5147593510825,,,1141
Q_2,20260831,12,50,seeded,2.283152217988556,Adaptive heuristic,0.001,37,0.9403654142457981,2.2189883930323617e-07,0.0005833985599205116,True,True,epsilon,0.01631097899735323,1.8436394287195232,,,16501
Q_2,20260831,12,50,seeded,2.283152217988556,Adaptive heuristic,0.0001,37,0.9403652432259353,5.087897647637618e-08,7.292481999010558e-05,True,True,epsilon,0.08986253999682958,0.33463959511491,,,131189
Q_2,20260831,12,50,seeded,2.283152217988556,Adaptive heuristic,1e-05,37,0.9403651942626486,1.9156898289907076e-09,9.115602498721564e-06,True,True,epsilon,0.6974418889985827,0.04311694561924651,,,1048693
Q_3,20260832,12,50,,,Algorithm 1 (exact),,1,0.9559819917061122,0.0,,True,True,exact,0.029187765998358373,1.0,111,53,
Q_3,20260832,12,50,seeded,0.7347532566863609,Adaptive heuristic,0.1,21,0.9712870404791922,0.015305048773080032,0.09350127953074872,True,True,epsilon,0.008293533999676583,3.5193400062622984,,,123
Q_3,20260832,12,50,seeded,0.7347532566863609,Adaptive heuristic,0.01,1,0.9559822686904654,2.769843532313132e-07,0.005806353921162688,True,True,epsilon,0.011402397001802456,2.559792120353682,,,2175
Q_3,20260832,12,50,seeded,0.7347532566863609,Adaptive heuristic,0.001,1,0.9559819925131877,8.070755175282329e-10,0.0007257942401452944,True,True,epsilon,0.018194650998339057,1.604194881288069,,,16511
Q_3,20260832,12,50,seeded,0.7347532566863609,Adaptive heuristic,0.0001,1,0.9559819917452972,3.918498858723751e-11,9.072428001821731e-05,True,True,epsilon,0.09164661400063778,0.3184816625975429,,,131199
Q_3,20260832,12,50,seeded,0.7347532566863609,Adaptive heuristic,1e-05,1,0.9559819917061703,5.806466418789569e-14,5.6702675010900094e-06,True,True,epsilon,1.3675744960019074,0.021342724717145985,,,2097279
