polygon,random_seed,polygon_vertices,skeleton_points,method,epsilon,p_k,x,y,width,actual_error,certified_gap,time_seconds,membership_tests,ell_evaluations,direction_evaluations,speedup_vs_algorithm_1,level,direction_angle_rad,chord_x_1,chord_y_1,chord_x_2,chord_y_2
Q_1,20260820,11,50,Algorithm 1 (exact),,19,0.181696044377,0.212965933724,1.8333863704818092,0.0,0.0,0.031156026998360176,234,61,,1.0,,2.1349883387840403,-0.24026040212507305,0.8797695186328803,0.7401122023262833,-0.6694803449816776
Q_1,20260820,11,50,Adaptive epsilon-approximation,0.1,42,0.10348376543,0.119720788165,1.882900797770699,0.049514427288890106,0.0938726835438275,0.006189145999087486,,,111,5.033978355487776,3,1.9576152278221437,-0.20934849412023365,0.887706665659437,0.500965041290697,-0.8560737378482869
Q_1,20260820,11,50,Adaptive epsilon-approximation,0.01,19,0.181696044377,0.212965933724,1.8333867137963624,3.4331455345260053e-07,0.007906491877655686,0.009246876999895903,,,1153,3.3693567026695517,11,2.1355569992168775,-0.24071728962802097,0.8796522051598678,0.740536337106672,-0.6690401988846012
Q_1,20260820,11,50,Adaptive epsilon-approximation,0.001,19,0.181696044377,0.212965933724,1.833386406881964,3.640015489025927e-08,0.0009883114847069052,0.012869427999248728,,,8321,2.4209333157758803,14,2.1351735040199067,-0.24040915377683314,0.8797313241697537,0.7402503205527551,-0.669337012717672
Q_1,20260820,11,50,Adaptive epsilon-approximation,0.0001,19,0.181696044377,0.212965933724,1.8333863705278084,4.599898240087441e-11,6.176946779423709e-05,0.0874202979994152,,,131201,0.3563935117055835,18,2.1349817564214213,-0.24025511454198922,0.8797708763078691,0.7401072921883356,-0.669485440479981
Q_1,20260820,11,50,Adaptive epsilon-approximation,1e-05,19,0.181696044377,0.212965933724,1.8333863704821791,3.701483564100272e-13,7.721183474362903e-06,0.6340359690002515,,,1048705,0.04913921058372608,21,2.1349877485338737,-0.24025992797877838,0.8797696403778354,0.7401117620276148,-0.6694808019018583
Q_2,20260821,11,50,Algorithm 1 (exact),,12,0.502597742585,0.137941439564,1.6215650940896438,0.0,0.0,0.03295616200011864,246,71,,1.0,,0.19843907180221043,0.9627634702135807,0.2304740854922553,-0.6269792072196475,-0.08920008286888492
Q_2,20260821,11,50,Adaptive epsilon-approximation,0.1,3,0.629689121447,-0.865853356046,1.6907483594791128,0.06918326538946906,0.08208768894407337,0.006211564999830443,,,85,5.305613319834573,1,1.6175677399206796,0.6338772412821061,-0.9553324883129348,0.5548273797459965,0.7335668972255982
Q_2,20260821,11,50,Adaptive epsilon-approximation,0.01,12,0.502597742585,0.137941439564,1.6215651255247416,3.1435097858079075e-08,0.005953073562340538,0.011869973999637295,,,2190,2.7764308499012436,12,0.19863551112646105,0.9627521874625471,0.23056586789067368,-0.6269276935376334,-0.08942058848103343
Q_2,20260821,11,50,Adaptive epsilon-approximation,0.001,12,0.502597742585,0.137941439564,1.6215650941075759,1.7932100249140603e-11,0.0007441341952925118,0.018586854999739444,,,16526,1.7730897454454035,15,0.19844376352797566,0.9627632007420832,0.23047627757646205,-0.6269779768676959,-0.08920534942137517
Q_2,20260821,11,50,Adaptive epsilon-approximation,0.0001,12,0.502597742585,0.137941439564,1.6215650941075759,1.7932100249140603e-11,9.301677441153622e-05,0.08162960600020597,,,131214,0.40372805425565184,18,0.19844376352797566,0.9627632007420832,0.23047627757646205,-0.6269779768676959,-0.08920534942137517
Q_2,20260821,11,50,Adaptive epsilon-approximation,1e-05,12,0.502597742585,0.137941439564,1.6215650940896755,3.219646771412954e-14,5.81354840067938e-06,1.2545181850000517,,,2097294,0.026269975512644546,22,0.19843926944363588,0.9627634588619554,0.23047417783492857,-0.6269791553904146,-0.08920030472522095
Q_3,20260822,8,50,Algorithm 1 (exact),,31,0.173867648259,0.16410190594,1.7963512780841584,0.0,0.0,0.0355620779992023,216,73,,1.0,,1.3860580962646518,0.3142219698012567,0.9151862686064743,-0.015748403449080295,-0.8505989581557225
Q_3,20260822,8,50,Adaptive epsilon-approximation,0.1,24,0.025222857958,0.376204828169,1.8840265257404463,0.08767524765628831,0.09586073059049349,0.006186143000377342,,,82,5.748667303202187,1,1.0189521414093234,-0.6366842329586355,-0.6989384020747353,0.35103278623992334,0.9054216072994485
Q_3,20260822,8,50,Adaptive epsilon-approximation,0.01,31,0.173867648259,0.16410190594,1.7969446164115113,0.0005933383273528658,0.008778821261558045,0.012642088999200496,,,141,2.8129906379753615,4,1.4116512231080476,0.010457914789949757,-0.8540119180968777,0.29522722416749037,0.9202249304909743
Q_3,20260822,8,50,Adaptive epsilon-approximation,0.001,31,0.173867648259,0.16410190594,1.7963512873315213,9.247362875441922e-09,0.0008724458824624914,0.019766295001318213,,,8325,1.7991271503754582,14,1.385957044910963,-0.015852000316695508,-0.8505854662963939,0.3142968079356595,0.9151664165872584
Q_3,20260822,8,50,Adaptive epsilon-approximation,0.0001,31,0.173867648259,0.16410190594,1.7963512781084348,2.4276580745663523e-11,5.452786765380857e-05,0.08064824100074475,,,131205,0.4409529278992446,18,1.386052918710206,-0.015753711399522113,-0.8505982668788303,0.3142258043000028,0.9151852514439889
Q_3,20260822,8,50,Adaptive epsilon-approximation,1e-05,31,0.173867648259,0.16410190594,1.796351278084759,6.010747455320598e-13,6.815983456753827e-06,0.5321304200006125,,,1048709,0.06682962796819879,21,1.3860589108226586,-0.015747568376818927,-0.8505990669107237,0.3142213665390243,0.9151864286314874
